nom,url_spotify,url_deezer,categorie,genre
RDN,https://open.spotify.com/artist/4rKMthZmMbSiMdow1f1rBE,,Rap-HipHop-RnB,Rap-HipHop-RnB
Konieur,https://open.spotify.com/artist/3OFleM2K9wTLzf0wry6He3,,Rap-HipHop-RnB,Rap-HipHop-RnB
Mecra Officiel,https://open.spotify.com/artist/2Ya02DIvFJEBvDBTznlYCp,,Rap-HipHop-RnB,Rap-HipHop-RnB
RDR,https://open.spotify.com/artist/2K8TwF85tEXePefdOxPZTW,,Rap-HipHop-RnB,Rap-HipHop-RnB
Zitoune,https://open.spotify.com/artist/5TRkqLaI9iMFdFiqN1wAXa,,Rap-HipHop-RnB,Rap-HipHop-RnB
RD,https://open.spotify.com/artist/07ZWwj7nQevMbVVLgwjAU6,,Rap-HipHop-RnB,Rap-HipHop-RnB
ZABUZA,https://open.spotify.com/artist/1BC1J2L4JXtQG3JgtDVCrk,,Rap-HipHop-RnB,Rap-HipHop-RnB
lille Caesar,https://open.spotify.com/artist/79ydqO3TZ35NwkWtjyvugR,,Rap-HipHop-RnB,Rap-HipHop-RnB
Lilleek,https://open.spotify.com/artist/76GuUSbzRaO4eeL9PhAGBl,,Rap-HipHop-RnB,Rap-HipHop-RnB
LILLE 16,https://open.spotify.com/artist/3FgDEdw02ZOkwuyWZTvIOV,,Rap-HipHop-RnB,Rap-HipHop-RnB
RapZilla-LKM,https://open.spotify.com/artist/39JrpTQZKfPHn4WWoyrMkU,,Rap-HipHop-RnB,Rap-HipHop-RnB
LILLEN,https://open.spotify.com/artist/04Me6qNw3Z1CIqUWrkmF5B,,Rap-HipHop-RnB,Rap-HipHop-RnB
G-Kill,https://open.spotify.com/artist/2H3E75M2o5aedoI2KD0dvd,,Rap-HipHop-RnB,Rap-HipHop-RnB
Lille Glenn,https://open.spotify.com/artist/6bvvimLWYUw7cbXtGa5jw8,,Rap-HipHop-RnB,Rap-HipHop-RnB
Lille Saus,https://open.spotify.com/artist/15saPvefLxxtw3nvTOCUg0,,Rap-HipHop-RnB,Rap-HipHop-RnB
Lille Pablo,https://open.spotify.com/artist/6Y4IHXCDwWvuNBmdqTIUTz,,Rap-HipHop-RnB,Rap-HipHop-RnB
YLR,https://open.spotify.com/artist/0djUVWD4NWGZt9PLAlvYXj,,Rap-HipHop-RnB,Rap-HipHop-RnB
DLM,https://open.spotify.com/artist/4Fdja4uNAMdIjqg0cwRXm8,,Rap-HipHop-RnB,Rap-HipHop-RnB
91 All Stars,https://open.spotify.com/artist/2NXFKDjgSuIyiUUH2PEVHG,,Rap-HipHop-RnB,Rap-HipHop-RnB
DL91 Era,https://open.spotify.com/artist/3mWqCmX0xuzBJN648XSBrE,,Rap-HipHop-RnB,Rap-HipHop-RnB
91,https://open.spotify.com/artist/227ZhUtAhpZiTj8S80p1y5,,Rap-HipHop-RnB,Rap-HipHop-RnB
Santos 912,https://open.spotify.com/artist/4NbbicWEOV9MfkaTuZBUnh,,Rap-HipHop-RnB,Rap-HipHop-RnB
919gaijin,https://open.spotify.com/artist/2vAFMlKReC5aI7I0AlEiyK,,Rap-HipHop-RnB,Rap-HipHop-RnB
Batata 914,https://open.spotify.com/artist/7CujhbovMdUlyC4gZILB63,,Rap-HipHop-RnB,Rap-HipHop-RnB
Will Power 912,https://open.spotify.com/artist/1b6E8GKvKbrozg36WhLulf,,Rap-HipHop-RnB,Rap-HipHop-RnB
911,https://open.spotify.com/artist/1qksEGcCzvkUq8tDV4hJz5,,Rap-HipHop-RnB,Rap-HipHop-RnB
914PXPE!,https://open.spotify.com/artist/1YRbRHu7EWHgjj6WMiQ4MZ,,Rap-HipHop-RnB,Rap-HipHop-RnB
91 NINEONE,https://open.spotify.com/artist/275v2UQSuAxoooUYpPvZDX,,Rap-HipHop-RnB,Rap-HipHop-RnB
lvcas 91,https://open.spotify.com/artist/4t26J3uwUdaNbiGaGvN10K,,Rap-HipHop-RnB,Rap-HipHop-RnB
911REEF,https://open.spotify.com/artist/0ncFQCK5QMcCW8mNEaJGIP,,Rap-HipHop-RnB,Rap-HipHop-RnB
T913,https://open.spotify.com/artist/47RRhnkvrKrC6tm7fNYQTN,,Rap-HipHop-RnB,Rap-HipHop-RnB
Arso911,https://open.spotify.com/artist/2qvmRNV5NTShJKvi4gAZft,,Rap-HipHop-RnB,Rap-HipHop-RnB
Rap2Rue,https://open.spotify.com/artist/5vDfFo9ko8zt163U2qTc2I,,Rap-HipHop-RnB,Rap-HipHop-RnB
RD92,https://open.spotify.com/artist/6gsBVohYkoryIZGoNhNua9,,Rap-HipHop-RnB,Rap-HipHop-RnB
rz92i,https://open.spotify.com/artist/77pl5wtTOGwF5FPUYUDEDz,,Rap-HipHop-RnB,Rap-HipHop-RnB
92_Montie,https://open.spotify.com/artist/2EuvBEH0mnMuqGadLoH87L,,Rap-HipHop-RnB,Rap-HipHop-RnB
Alka92140,https://open.spotify.com/artist/0gxgKYUUgdbO3BOqz5iKDI,,Rap-HipHop-RnB,Rap-HipHop-RnB
nes929,https://open.spotify.com/artist/3SNPmjhb121Cjy0Oskqsb4,,Rap-HipHop-RnB,Rap-HipHop-RnB
92!kris,https://open.spotify.com/artist/2G9pux34dMxzqLEsxejwin,,Rap-HipHop-RnB,Rap-HipHop-RnB
92 Zorba,https://open.spotify.com/artist/5sdvHmw4yMrLqhLanxTjwz,,Rap-HipHop-RnB,Rap-HipHop-RnB
929Reese,https://open.spotify.com/artist/5OnYrMdN2FX7LgFN5LVHC1,,Rap-HipHop-RnB,Rap-HipHop-RnB
KLN 93,https://open.spotify.com/artist/7wMBwaUmhrkuaq7vGWY8bt,,Rap-HipHop-RnB,Rap-HipHop-RnB
Kasper 939,https://open.spotify.com/artist/6wUGiWb7FR3Cv39sELlp1U,,Rap-HipHop-RnB,Rap-HipHop-RnB
Sp93,https://open.spotify.com/artist/70BVuSoIusPEV52Fyi3RlK,,Rap-HipHop-RnB,Rap-HipHop-RnB
93TWENTY,https://open.spotify.com/artist/7uvFEQb8bV6u3pLMpMVnIi,,Rap-HipHop-RnB,Rap-HipHop-RnB
VALO93,https://open.spotify.com/artist/1JNYkkxlv4mTQaO6KghFvo,,Rap-HipHop-RnB,Rap-HipHop-RnB
931Luhcam,https://open.spotify.com/artist/5B1aYTxcbPhAflHD4jBOlu,,Rap-HipHop-RnB,Rap-HipHop-RnB
Crie 930,https://open.spotify.com/artist/3dOo2vzOxx1HaSteQGb56s,,Rap-HipHop-RnB,Rap-HipHop-RnB
elyasbitume93200,https://open.spotify.com/artist/6q02OCty2wYpEYoi9aGxPc,,Rap-HipHop-RnB,Rap-HipHop-RnB
L'BONVIEU93,https://open.spotify.com/artist/3m2Za3aMSr52cqPE9uLmpk,,Rap-HipHop-RnB,Rap-HipHop-RnB
TMK-93,https://open.spotify.com/artist/5MG6UN1t9hL6la6Nvlqk7n,,Rap-HipHop-RnB,Rap-HipHop-RnB
